direct_sponsor,direct_sponsor_type,funded_award_count,funded_award_dollars,dare_award_count,other_cas_award_count,dare_unique_direct_sponsor,median_fa_rate,mean_fa_rate,zero_fa_award_count,low_fa_award_count,low_fa_award_share,fa_types,low_fa_threshold
Colorado Department of Agriculture,State of Colorado,46,14147683.25,2,44,FALSE,0,4.63,26,42,0.9333,MTDC; No Indirect Cost Allowed; TDC,10
USDA-ARS-Agricultural Research Service,Federal,50,4221817.63,0,50,FALSE,0,1.24,44,48,0.96,No Indirect Cost Allowed; TDC,10
Colorado Wheat Administrative Committee,Domestic Non-Profit (other than Domestic Foundations),35,2580055.74,0,35,FALSE,0,0,35,35,1,No Indirect Cost Allowed,10
Colorado Seed Growers Association,Domestic Non-Profit (other than Domestic Foundations),4,2563987.93,0,4,FALSE,0,0,4,4,1,No Indirect Cost Allowed,10
National Cattlemens Beef Association,Domestic Non-Profit (other than Domestic Foundations),26,1098997.71,1,25,FALSE,0,0,26,26,1,No Indirect Cost Allowed; TDC,10
Western Sugar Cooperative,Domestic Commercial,27,1061925.41,0,27,FALSE,0,0,27,27,1,No Indirect Cost Allowed,10
Charities Aid Foundation America,Domestic Foundations,1,1000000.35,0,1,FALSE,0,0,1,1,1,No Indirect Cost Allowed,10
USDA-USFS-Pacific NW Exp Statn,Federal,10,856357.24,3,7,FALSE,0,0,10,10,1,No Indirect Cost Allowed,10
USDA-ERS-Economic Research Service,Federal,7,675285.91,7,0,TRUE,0,0,7,7,1,No Indirect Cost Allowed,10
Colorado Potato Administrative Committee,Domestic Non-Profit (other than Domestic Foundations),19,585296.09,0,19,FALSE,0,0,19,19,1,No Indirect Cost Allowed,10
Danish Technological Institute,Foreign Non-Profit (other than Foreign Foundations),1,382829.84,0,1,FALSE,0,0,1,1,1,No Indirect Cost Allowed,10
Colorado Beef Council,Domestic Non-Profit (other than Domestic Foundations),8,327552.13,0,8,FALSE,0,0,8,8,1,MTDC; No Indirect Cost Allowed,10
USDA-USFS-Forest Health Protection,Federal,3,309943.89,0,3,FALSE,0,18,2,2,0.6667,MTDC; No Indirect Cost Allowed,10
South Dakota State University,Other Domestic Higher Education,2,226149.71,0,2,FALSE,0,0,2,2,1,No Indirect Cost Allowed,10
Snake River Sugarbeet Research and Seed Alliance,Domestic Commercial,8,172825.55,0,8,FALSE,0,0,8,8,1,No Indirect Cost Allowed,10
Colorado Horticulture Research & Education Foundation,Domestic Foundations,8,136173.2,0,8,FALSE,0,0,8,8,1,No Indirect Cost Allowed,10
Colorado Corn Promotion Council,Domestic Non-Profit (other than Domestic Foundations),6,112609.81,0,6,FALSE,0,0,6,6,1,No Indirect Cost Allowed,10
Wyoming Bean Commission,Other Domestic State Government,2,108240.01,0,2,FALSE,0,0,2,2,1,No Indirect Cost Allowed,10
American Lamb Board,Domestic Non-Profit (other than Domestic Foundations),1,106500,0,1,FALSE,0,0,1,1,1,No Indirect Cost Allowed,10
Colorado Dry Bean Administration Committee,Domestic Non-Profit (other than Domestic Foundations),8,101990.09,0,8,FALSE,0,0,8,8,1,No Indirect Cost Allowed,10
Nebraska Dry Bean Commission,Domestic Non-Profit (other than Domestic Foundations),4,97918.34,0,4,FALSE,0,0,4,4,1,No Indirect Cost Allowed,10
USDA-USFS-Southern Research Station,Federal,1,92000,0,1,FALSE,0,0,1,1,1,No Indirect Cost Allowed,10
Hayden School District,State of Colorado Other Local Government,1,90000.99,0,1,FALSE,0,0,1,1,1,No Indirect Cost Allowed,10
USDA-USFS-Rocky Mtn. Rsrch Station - UT,Federal,1,79973.91,0,1,FALSE,0,0,1,1,1,No Indirect Cost Allowed,10
University of Idaho,Other Domestic Higher Education,2,74999.1,2,0,TRUE,0,0,2,2,1,No Indirect Cost Allowed,10
Colorado Sorghum Producers,Domestic Non-Profit (other than Domestic Foundations),5,68230.32,0,5,FALSE,0,0,5,5,1,No Indirect Cost Allowed,10
Bender West Foundation,Domestic Foundations,1,49980.7,0,1,FALSE,0,0,1,1,1,No Indirect Cost Allowed,10
American Hereford Association,Domestic Non-Profit (other than Domestic Foundations),1,46935.53,0,1,FALSE,0,0,1,1,1,No Indirect Cost Allowed,10
Colorado Corn Administrative Committee,Domestic Non-Profit (other than Domestic Foundations),4,30343.8,0,4,FALSE,0,0,4,4,1,No Indirect Cost Allowed,10
Canadian Institute for Advanced Research,Foreign Non-Profit (other than Foreign Foundations),2,28765.01,0,2,FALSE,0,0,2,2,1,No Indirect Cost Allowed,10
Archbold Biological Station,Domestic Non-Profit (other than Domestic Foundations),1,25000.81,0,1,FALSE,0,0,1,1,1,No Indirect Cost Allowed,10
Western Sugar Company,Domestic Commercial,1,25000.37,0,1,FALSE,0,0,1,1,1,No Indirect Cost Allowed,10
New York University,Other Domestic Higher Education,1,25000.16,1,0,TRUE,0,0,1,1,1,No Indirect Cost Allowed,10
DeLaval,Foreign Commercial,3,24787.4,0,3,FALSE,0,0,3,3,1,MTDC; No Indirect Cost Allowed,10
Fred C. Gloeckner Foundation,Domestic Foundations,2,23999.54,0,2,FALSE,0,0,2,2,1,No Indirect Cost Allowed,10
Potatoes USA,Domestic Commercial,3,16001.3,0,3,FALSE,0,0,3,3,1,No Indirect Cost Allowed,10
"American Malting Barley Association, Inc.",Domestic Non-Profit (other than Domestic Foundations),1,12582.84,0,1,FALSE,0,0,1,1,1,TDC,10
American Society of Brewing Chemists,Domestic Non-Profit (other than Domestic Foundations),1,10737.05,0,1,FALSE,0,0,1,1,1,No Indirect Cost Allowed,10
Brown University,Other Domestic Higher Education,1,10000.28,0,1,FALSE,0,0,1,1,1,TDC,10
United Sorghum Checkoff Program,Domestic Non-Profit (other than Domestic Foundations),1,9999.54,0,1,FALSE,0,0,1,1,1,No Indirect Cost Allowed,10
Colorado Garden Foundation,Domestic Non-Profit (other than Domestic Foundations),1,9440,0,1,FALSE,0,0,1,1,1,No Indirect Cost Allowed,10
Morris Animal Foundation,Domestic Foundations,1,9118.98,0,1,FALSE,0,0,1,1,1,No Indirect Cost Allowed,10
Association of Public and Land-grant Universities,Domestic Non-Profit (other than Domestic Foundations),1,3000,0,1,FALSE,0,0,1,1,1,No Indirect Cost Allowed,10
Larimer County,State of Colorado Local Government,1,2215.23,0,1,FALSE,0,0,1,1,1,No Indirect Cost Allowed,10
"Sandbox Solar, LLC",Domestic Commercial,1,31440.08,0,1,FALSE,5.26,5.26,0,1,1,TDC,10
Texas Tech University,Other Domestic Higher Education,2,133009.49,0,2,FALSE,5.56,5.56,1,1,0.5,TDC,10
USDA-USFS-Rocky Mountain Region,Federal,2,83200.27,0,2,FALSE,7.5,7.5,1,1,0.5,No Indirect Cost Allowed; TDC,10
Colorado Office of Economic Development and Intl Trade,State of Colorado,5,633454.37,0,5,FALSE,8,8,0,5,1,TDC,10
CSURF-CSU Ventures,Domestic Foundations,2,54320.76,0,2,FALSE,8,8,0,2,1,TDC,10
Soil Metrics,Domestic Commercial,1,41688.05,0,1,FALSE,8,8,0,1,1,TDC,10
The National Sheep Industry Improvement Center,Federal,1,24005.71,0,1,FALSE,8.1,8.1,0,1,1,TDC,10
USDA-AMS-Agricultural Marketing Service,Federal,6,50856787.65,3,3,FALSE,10,7.92,1,6,1,MTDC; No Indirect Cost Allowed; TDC,10
USDA-NRCS-Natural Resources Consvtn Srv,Federal,12,11650343.92,1,11,FALSE,10,22.67,1,7,0.5833,MTDC; No Indirect Cost Allowed; TDC,10
Bill and Melinda Gates Foundation,Domestic Foundations,1,9999998.81,0,1,FALSE,10,10,0,1,1,TDC,10
The International Maize and Wheat Improvement Center,Foreign Non-Profit (other than Foreign Foundations),1,3998198.9,0,1,FALSE,10,10,0,1,1,TDC,10
USDA-APHIS-Animal Plant Health Insp Srvc,Federal,27,3877294.62,4,23,FALSE,10,11.5,0,21,0.7778,TDC,10
USDA-OCE-Office of the Chief Economist,Federal,1,2849998.66,0,1,FALSE,10,10,0,1,1,TDC,10
Kansas State University,Other Domestic Higher Education,16,2192148.37,1,15,FALSE,10,18.92,5,11,0.6875,MTDC; No Indirect Cost Allowed; TDC,10
McKnight Foundation,Domestic Foundations,8,1519756.65,0,8,FALSE,10,10,0,8,1,TDC,10
Montana State University,Other Domestic Higher Education,14,1339984.32,0,14,FALSE,10,10.08,0,13,0.9286,TDC,10
USDA-Foreign Agricultural Service,Federal,2,670000.18,0,2,FALSE,10,10,0,2,1,TDC,10
American Heart Association,Domestic Non-Profit (other than Domestic Foundations),5,404262.74,0,5,FALSE,10,10,0,5,1,TDC,10
Consultative Group on International Agricultural Research,Foreign Non-Profit (other than Foreign Foundations),2,399986.29,0,2,FALSE,10,10,0,2,1,TDC,10
"Dairy Management, Inc.",Domestic Non-Profit (other than Domestic Foundations),3,319762.49,0,3,FALSE,10,10.37,0,2,0.6667,TDC,10
Gerstner Philanthropies,Domestic Foundations,1,253301.07,0,1,FALSE,10,10,0,1,1,TDC,10
Grantham Foundation,Domestic Foundations,1,177500.49,0,1,FALSE,10,10,0,1,1,TDC,10
USDA-APHIS-National Wildlife Research Center,Federal,1,113998.6,1,0,TRUE,10,10,0,1,1,TDC,10
"Micronutrients, LLC",Domestic Commercial,3,110348.97,0,3,FALSE,10,10,0,3,1,TDC,10
USDA-US Department of Agriculture,Federal,1,93909.48,0,1,FALSE,10,10,0,1,1,TDC,10
University of Tennessee,Other Domestic Higher Education,2,81253.84,2,0,TRUE,10,10,0,2,1,S&W; TDC,10
Human Animal Bond Research Institute,Domestic Foundations,1,44048.66,0,1,FALSE,10,10,0,1,1,TDC,10
University of Arkansas,Other Domestic Higher Education,1,26680.91,0,1,FALSE,10,10,0,1,1,TDC,10
Bird Conservancy of the Rockies,Domestic Non-Profit (other than Domestic Foundations),1,25649.39,1,0,TRUE,10,10,0,1,1,TDC,10
Tree Research and Education Endowment Fund,Domestic Non-Profit (other than Domestic Foundations),1,24976.96,0,1,FALSE,10,10,0,1,1,TDC,10
University of Minnesota,Other Domestic Higher Education,4,390280.92,3,1,FALSE,10.55,18.49,0,2,0.5,TDC,10
Noble Research Institute,Domestic Non-Profit (other than Domestic Foundations),3,3608626.1,0,3,FALSE,11,11.04,0,0,0,TDC,10
Foundation for Food & Agriculture Research,Domestic Non-Profit (other than Domestic Foundations),5,3827303.81,1,4,FALSE,11.11,11.11,0,0,0,TDC,10
Foundation for Food and Agriculture Research,Domestic Non-Profit (other than Domestic Foundations),1,1500000.24,0,1,FALSE,11.11,11.11,0,0,0,TDC,10
Rockefeller Foundation,Domestic Foundations,4,1389863.17,1,3,FALSE,11.11,12.08,0,0,0,TDC,10
"University of California, Davis",Other Domestic Higher Education,8,953621.26,0,8,FALSE,11.11,18,2,2,0.25,No Indirect Cost Allowed; TDC,10
CHS Foundation,Domestic Foundations,2,517290.57,0,2,FALSE,11.11,11.11,0,0,0,TDC,10
North Carolina State University,Other Domestic Higher Education,3,467499.4,0,3,FALSE,11.11,11.11,0,0,0,TDC,10
City of Boulder Open Space & Mountain Parks,State of Colorado Local Government,1,41341.18,0,1,FALSE,11.11,11.11,0,0,0,TDC,10
Valley Food Partnership,Domestic Non-Profit (other than Domestic Foundations),1,23802.25,1,0,TRUE,11.11,11.11,0,0,0,TDC,10
The Nature Conservancy,Domestic Non-Profit (other than Domestic Foundations),1,20615.5,1,0,TRUE,11.11,11.11,0,0,0,TDC,10
Point Blue Conservation Science,Domestic Non-Profit (other than Domestic Foundations),1,10000.61,0,1,FALSE,11.11,11.11,0,0,0,TDC,10
Robert Wood Johnson Foundation,Domestic Foundations,1,99993.13,1,0,TRUE,12,12,0,0,0,TDC,10
USDA-USFS-Rocky Mtn. Rsrch Station - CO,Federal,14,2546034.83,6,8,FALSE,15,13.21,3,3,0.2143,MTDC; No Indirect Cost Allowed; TDC,10
Colorado State University - Pueblo,State of Colorado Higher Education,8,2403574.96,0,8,FALSE,15,13.12,1,1,0.125,MTDC; No Indirect Cost Allowed,10
Colorado Water Conservation Board,State of Colorado,3,1316604.94,0,3,FALSE,15,15,0,0,0,TDC,10
